Weather Scenario,Year,EVA category 1,Average of Value
WS32,2028,Solar PV,997.2
WS33,2028,Solar PV,926.6
WS34,2028,Solar PV,960.2
WS35,2028,Solar PV,858.6
WS36,2028,Solar PV,913.9
WS01,2030,Solar PV,903.1
WS02,2030,Solar PV,855.2
WS03,2030,Solar PV,930.3
WS04,2030,Solar PV,941.4
WS05,2030,Solar PV,897.1
WS06,2030,Solar PV,925.5
WS07,2030,Solar PV,970.3
WS08,2030,Solar PV,963.4
WS09,2030,Solar PV,880.9
WS10,2030,Solar PV,1027.0
WS11,2030,Solar PV,983.5
WS12,2030,Solar PV,880.4
WS13,2030,Solar PV,945.9
WS14,2030,Solar PV,906.2
WS15,2030,Solar PV,884.8
WS16,2030,Solar PV,903.5
WS17,2030,Solar PV,950.8
WS18,2030,Solar PV,890.0
WS19,2030,Solar PV,1011.3
WS20,2030,Solar PV,943.8
WS21,2030,Solar PV,937.0
WS22,2030,Solar PV,927.2
WS23,2030,Solar PV,863.4
WS24,2030,Solar PV,951.6
WS25,2030,Solar PV,1046.1
WS26,2030,Solar PV,1012.4
WS27,2030,Solar PV,927.2
WS28,2030,Solar PV,934.2
WS29,2030,Solar PV,997.2
WS30,2030,Solar PV,920.2
WS31,2030,Solar PV,935.4
WS32,2030,Solar PV,1000.8
WS33,2030,Solar PV,923.9
WS34,2030,Solar PV,960.9
WS35,2030,Solar PV,857.9
WS36,2030,Solar PV,914.2
WS01,2033,Solar PV,876.7
WS02,2033,Solar PV,829.3
WS03,2033,Solar PV,905.6
WS04,2033,Solar PV,922.4
WS05,2033,Solar PV,864.8
WS06,2033,Solar PV,901.5
WS07,2033,Solar PV,945.5
WS08,2033,Solar PV,920.8
WS09,2033,Solar PV,856.3
WS10,2033,Solar PV,995.0
WS11,2033,Solar PV,969.3
WS12,2033,Solar PV,855.7
WS13,2033,Solar PV,925.1
WS14,2033,Solar PV,872.8
WS15,2033,Solar PV,870.4
WS16,2033,Solar PV,878.5
WS17,2033,Solar PV,920.2
WS18,2033,Solar PV,868.9
WS19,2033,Solar PV,961.4
WS20,2033,Solar PV,927.8
