Weather Scenario,Year,EVA category 1,Average of Value
WS10,2033,Solar PV,1013.8
WS11,2033,Solar PV,980.6
WS12,2033,Solar PV,870.7
WS13,2033,Solar PV,938.9
WS14,2033,Solar PV,890.5
WS15,2033,Solar PV,883.1
WS16,2033,Solar PV,895.5
WS17,2033,Solar PV,939.8
WS18,2033,Solar PV,885.1
WS19,2033,Solar PV,989.9
WS20,2033,Solar PV,936.0
WS21,2033,Solar PV,919.4
WS22,2033,Solar PV,906.1
WS23,2033,Solar PV,854.8
WS24,2033,Solar PV,930.9
WS25,2033,Solar PV,1025.7
WS26,2033,Solar PV,993.4
WS27,2033,Solar PV,918.2
WS28,2033,Solar PV,915.7
WS29,2033,Solar PV,982.3
WS30,2033,Solar PV,908.0
WS31,2033,Solar PV,924.2
WS32,2033,Solar PV,977.7
WS33,2033,Solar PV,908.4
WS34,2033,Solar PV,943.4
WS35,2033,Solar PV,846.8
